id,name,position,team,draft_year,twitter_username,stats_id,weight,college,draft_round,height,rotoworld_id,nfl_id,espn_id,birthdate,status,may_16_value,trend,may_16,apr_16_value,apr_16,mar_16_value,mar_16,feb_16_value,feb_16,jan_16_value,jan_16,dec_15_value,dec_15,nov_15_value,nov_15,oct_15_value,oct_15,sept_15_value,sept_15
10271,Julio Jones,WR,ATL,2011,juliojones_11,24793,220,Alabama,1,75,6475,juliojones/2495454,13982,602485200,0,9412,-0.5,4.3,9224,4.5,9412,3.8,9604,3.0,9604,3.0,9800,3.0,9604,3.0,9800,2.0,10000,1.0
9988,Antonio Brown,WR,PIT,2010,AntonioBrown84,24171,186,Central Michigan,6,70,5698,antoniobrown/2508061,13934,584514000,0,9800,0.0,2.4,9604,2.8,9800,2.4,9800,2.5,9800,2.0,9604,4.0,9039,6.0,9604,3.0,9800,2.0
9823,Dez Bryant,WR,DAL,2010,DezBryant,23999,220,Oklahoma State,1,74,5558,dezbryant/497278,13215,594622800,0,8007,-0.7,12.0,8007,12.0,8171,11.3,8337,9.5,8337,12.0,9224,6.0,9224,5.0,9039,6.0,9604,3.0
11679,Odell Beckham,WR,NYG,2014,OBJ_3,27540,198,LSU,1,71,9403,odellbeckham/2543496,16733,720939600,0,10000,0.3,1.0,10000,1.2,10000,1.3,10000,1.0,10000,1.0,10000,1.0,10000,1.0,10000,1.0,9412,4.0
11192,Le'Veon Bell,RB,PIT,2013,0,26671,244,Michigan State,2,73,8390,le'veonbell/2540175,15825,714114000,0,8171,0.0,11.8,8171,10.3,8007,11.8,7690,14.5,8508,11.5,8681,10.5,8171,11.0,9412,4.0,9224,5.0
9902,Rob Gronkowski,TE,NEP,2010,RobGronkowski,24017,265,Arizona,2,78,5729,robgronkowski/497240,13229,611125200,0,8858,-0.8,8.8,8337,10.2,8681,7.9,8858,7.5,8858,8.0,9039,7.0,8681,8.0,9224,5.0,9039,6.0
11671,Mike Evans,WR,TBB,2014,MikeEvans13_,27535,231,Texas A&M,1,77,9296,mikeevans/2543468,16737,745909200,0,8681,-0.1,9.1,8681,7.9,8508,9.0,8508,9.0,8681,10.5,8508,11.0,8337,10.0,8681,8.0,8858,7.0
10695,Andrew Luck,QB,IND,2012,0,25711,240,Stanford,1,76,6439,andrewluck/2533031,14874,621579600,0,5346,-0.6,33.2,4832,35.9,5566,32.6,5566,32.5,6676,24.5,7238,22.0,7386,16.0,7536,15.0,8681,8.0
9884,Demaryius Thomas,WR,DEN,2010,DemaryiusT,23997,229,Georgia Tech,1,75,5700,demaryiusthomas/497328,13216,567406800,0,6951,-3.2,20.5,7093,17.3,7238,17.3,7386,17.0,8171,13.0,8171,13.0,8007,12.0,8337,10.0,8508,9.0
10261,AJ Green,WR,CIN,2011,ajgreen_18,24791,207,Georgia,1,76,6438,a.j.green/2495450,13983,586328400,0,8337,2.2,11.5,7536,14.2,7690,13.7,8007,13.0,8858,8.0,8508,11.0,8508,9.0,8171,11.0,8337,10.0
11201,Eddie Lacy,RB,GBP,2013,Lil_Eazy_Ana_42,26684,234,Alabama,2,71,8382,eddielacy/2540168,15848,644302800,0,4641,13.2,40.3,3869,48.8,3292,53.4,4029,50.0,4111,48.0,5566,36.0,6951,19.0,7386,16.0,8171,11.0
10308,Randall Cobb,WR,GBP,2011,rcobb18,24851,192,Kentucky,2,70,6497,randallcobb/2495448,14053,651301200,0,6543,-0.8,24.8,6283,23.2,6543,23.9,6676,22.5,7238,20.0,8007,17.0,7690,14.0,8508,9.0,8007,12.0
10722,Alshon Jeffery,WR,CHI,2012,TheJefferyShow,25755,216,South Carolina,2,75,7441,alshonjeffery/2533039,14912,634971600,0,7690,-0.3,14.9,7847,13.8,7536,14.6,7847,13.5,7847,14.5,8337,12.0,7847,13.0,7690,14.0,7847,13.0
8657,Calvin Johnson,WR,DET,2007,0,8256,237,Georgia Tech,1,77,4153,calvinjohnson/2495647,10447,496818000,0,51,-106.9,232.1,248,167.0,833,125.2,922,123.0,5239,37.5,7238,22.0,6412,23.0,7093,18.0,7690,14.0
12175,Amari Cooper,WR,OAK,2015,AmariCooper9,28392,210,Alabama,1,73,10310,amaricooper/2552487,2976499,771915600,0,9039,0.2,6.8,9039,6.6,9039,6.9,9039,6.0,9224,6.0,8858,7.5,8858,7.0,8858,7.0,7536,15.0
11232,DeAndre Hopkins,WR,HOU,2013,Nukdabomb,26650,218,Clemson,1,73,8404,deandrehopkins/2540165,15795,707806800,0,9604,0.3,2.9,9800,2.4,9604,3.3,9412,3.5,9412,4.0,9412,4.5,9412,4.0,7847,13.0,7386,16.0
11654,Jeremy Hill,RB,CIN,2014,0,27583,235,LSU,2,73,9409,jeremyhill/2543603,16803,719557200,0,1986,-6.6,78.1,1986,76.4,2583,71.5,2916,69.5,3226,60.5,4641,44.5,5455,31.0,6283,24.0,7238,17.0
11674,Brandin Cooks,WR,NOS,2014,brandincooks,27548,189,Oregon State,1,70,9404,brandincooks/2543498,16731,748933200,0,7386,0.3,16.3,7238,15.9,7386,16.6,7536,16.0,7690,16.5,7238,22.0,6543,22.0,5914,27.0,7093,18.0
10729,TY Hilton,WR,IND,2012,TYHilton13,25802,180,Florida International,3,69,7558,t.y.hilton/2532865,14924,627022800,0,6158,-0.3,25.8,6158,23.7,6158,25.5,6543,23.5,6676,24.5,7386,20.5,7093,18.0,6676,21.0,6951,19.0
12150,Todd Gurley,RB,STL,2015,TG3II,28398,227,Georgia,1,73,10288,0,2977644,775890000,0,9039,0.3,6.8,8858,7.8,8858,7.1,8681,8.5,9039,7.0,9800,3.0,9800,2.0,8007,12.0,6812,20.0
10001,Pick 1,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,7536,9.0,15.5,7386,15.5,6412,24.5,6283,24.3,7238,20.0,7536,20.0,6812,20.0,6812,20.0,6812,20.0
11676,Jordan Matthews,WR,PHI,2014,jmattjmattjmatt,27570,212,Vanderbilt,2,75,9420,jordanmatthews/2543500,16763,711262800,0,6412,0.3,25.2,5796,27.5,6283,25.4,6158,25.5,6543,25.5,6412,29.0,6035,26.0,7238,17.0,6676,21.0
8658,Adrian Peterson,RB,MIN,2007,AdrianPeterson,8261,220,Oklahoma,1,73,4169,adrianpeterson/2507164,10452,480229200,0,4368,10.9,41.8,3098,57.9,3497,52.8,4029,50.0,4029,48.5,6283,30.0,4195,44.0,5680,29.0,6543,22.0
11670,Sammy Watkins,WR,BUF,2014,sammywatkins,27532,211,Clemson,1,73,9388,sammywatkins/2543457,16725,740034000,0,8508,0.3,9.9,8508,8.8,8337,10.2,8171,10.5,8007,13.5,7847,18.0,6676,21.0,6951,19.0,6412,23.0
7836,Aaron Rodgers,QB,GBP,2005,AaronRodgers12,7200,225,California,1,74,3118,aaronrodgers/2506363,8439,439189200,0,4111,8.7,46.8,3716,49.1,3226,55.4,3869,51.0,5346,36.5,6158,30.5,6283,24.0,6812,20.0,6283,24.0
10002,Pick 2,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,5566,-3.2,29.8,5566,29.8,6035,26.7,5914,28.0,6812,24.0,6951,24.0,6283,24.0,6283,24.0,6283,24.0
9054,Jamaal Charles,RB,KCC,2008,jcharles25,8850,199,Texas,3,71,4617,jamaalcharles/925,11307,536043600,0,3226,13.8,57.8,2068,72.9,2531,71.6,2531,74.5,3428,57.5,3036,64.5,3359,54.0,6543,22.0,6158,25.0
11454,CJ Anderson,RB,FA,2013,0,26878,224,California,0,68,8694,c.j.anderson/2540269,16040,666162000,0,2801,5.8,63.4,2858,59.5,2745,69.2,2690,72.0,2198,78.5,2154,81.5,1796,83.0,2383,70.0,6035,26.0
11678,Allen Robinson,WR,JAC,2014,0,27589,215,Penn State,2,75,9297,allenrobinson/2543509,16799,746168400,0,9224,-0.3,5.3,9412,4.3,9224,5.1,9224,5.0,9224,6.0,8337,12.0,7536,15.0,6158,25.0,5914,27.0
10003,Pick 3,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,5031,8.8,35.9,4832,35.9,4368,44.8,4931,42.9,6283,28.0,6543,28.0,5796,28.0,5796,28.0,5796,28.0
10302,DeMarco Murray,RB,DAL,2011,DeMarcoMurray,24858,217,Oklahoma,3,72,6585,demarcomurray/2495207,14005,571640400,0,1381,-15.8,91.8,1908,77.1,2335,76.1,2745,71.5,2745,70.0,2976,65.0,3226,56.0,3428,53.0,5796,28.0
9925,Jimmy Graham,TE,NOS,2010,TheJimmyGraham,24070,265,Miami,3,79,5842,jimmygraham/497236,13232,533192400,0,628,3.1,128.1,556,132.5,753,131.2,784,134.0,941,122.5,1725,94.0,3292,55.0,5455,31.0,5680,29.0
11680,Jarvis Landry,WR,MIA,2014,0,27591,202,LSU,2,71,9405,jarvislandry/2543488,16790,722926800,0,7093,1.3,19.9,6812,20.1,6676,21.3,6812,22.0,7093,21.5,7093,22.5,5914,27.0,5031,35.0,5566,30.0
11675,Davante Adams,WR,GBP,2014,0,27581,215,Fresno State,2,73,9273,davanteadams/2543495,16800,725173200,0,641,-41.0,127.6,1020,104.6,1832,86.6,1870,90.5,2690,71.0,4281,49.0,4832,37.0,4281,43.0,5455,31.0
11222,Keenan Allen,WR,SDC,2013,Keenan13Allen,26699,211,California,3,74,8379,keenanallen/2540154,15818,704350800,0,7847,-2.3,14.3,7690,14.0,7847,12.1,8007,13.0,7536,18.0,8007,17.0,7238,17.0,6412,23.0,5346,32.0
10004,Pick 4,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,4832,12.9,39.1,4641,39.1,3642,52.0,4195,48.9,5680,32.0,6035,32.0,5346,32.0,5346,32.0,5346,32.0
